method,n_test_years,first_test_year,last_test_year,test_years,bias,mae,rmse,crps,interval_coverage,interval_width,payout_bias_usd,payout_mae_usd,payout_rmse_usd
expanding,16,2010,2025,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,45.41180850816915,52.61591835665401,64.14564922567635,40.59626194214526,0.5625,117.28331250000004,1401.9363888989305,1520.84263889893,1596.4351468552663
recent_10,16,2010,2025,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,24.374437500000006,44.73956250000002,53.5357839375917,34.31821875000001,0.6875,103.8999375,472.5281250000003,889.8281250000006,987.3122542254557
recent_20,6,2020,2025,2020;2021;2022;2023;2024;2025,37.79549999999998,50.226,66.85497160645572,39.174225,0.8333333333333334,143.00850000000003,1417.0750000000005,1417.0750000000005,1518.6489509593728
temperature_trend,16,2010,2025,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,-2.8396090841984645,40.79619788377223,50.21158816352161,30.45179484468922,0.6875,86.80210366815314,-218.32403717467054,346.19841387772004,835.9561612381582
