method,prediction_year,historical_year,weight,temperature_shift_c,monthly_hdd_f_days,payout_usd
expanding,2010,2000,0.1,0.0,276.99,0.0
expanding,2010,2001,0.1,0.0,257.09999999999997,0.0
expanding,2010,2002,0.1,0.0,324.51000000000005,4522.500000000008
expanding,2010,2003,0.1,0.0,303.57,2428.5000000000027
expanding,2010,2004,0.1,0.0,260.64,0.0
expanding,2010,2005,0.1,0.0,248.52000000000004,0.0
expanding,2010,2006,0.1,0.0,285.72,643.5000000000059
expanding,2010,2007,0.1,0.0,129.57,0.0
expanding,2010,2008,0.1,0.0,281.58,229.5000000000016
expanding,2010,2009,0.1,0.0,290.28000000000003,1099.5000000000061
recent_10,2010,2000,0.1,0.0,276.99,0.0
recent_10,2010,2001,0.1,0.0,257.09999999999997,0.0
recent_10,2010,2002,0.1,0.0,324.51000000000005,4522.500000000008
recent_10,2010,2003,0.1,0.0,303.57,2428.5000000000027
recent_10,2010,2004,0.1,0.0,260.64,0.0
recent_10,2010,2005,0.1,0.0,248.52000000000004,0.0
recent_10,2010,2006,0.1,0.0,285.72,643.5000000000059
recent_10,2010,2007,0.1,0.0,129.57,0.0
recent_10,2010,2008,0.1,0.0,281.58,229.5000000000016
recent_10,2010,2009,0.1,0.0,290.28000000000003,1099.5000000000061
temperature_trend,2010,2000,0.1,0.9821114369501407,228.20938416422314,0.0
temperature_trend,2010,2001,0.1,0.8839002932551266,217.41550733137848,0.0
temperature_trend,2010,2002,0.1,0.7856891495601126,289.1539882697949,986.8988269794954
temperature_trend,2010,2003,0.1,0.6874780058650986,267.17364809384185,0.0
temperature_trend,2010,2004,0.1,0.5892668621700845,229.37026979472154,0.0
temperature_trend,2010,2005,0.1,0.49105571847507035,226.73639296187696,0.0
temperature_trend,2010,2006,0.1,0.3928445747800563,265.9206334310851,0.0
temperature_trend,2010,2007,0.1,0.29463343108504225,119.49353665689155,0.0
temperature_trend,2010,2008,0.1,0.19642228739002815,272.74099706744875,0.0
temperature_trend,2010,2009,0.1,0.09821114369501407,285.3869384164223,610.1938416422342
trend_half_shift,2010,2000,0.1,0.49105571847507035,252.24079178885643,0.0
trend_half_shift,2010,2001,0.1,0.4419501466275633,237.21224340175968,0.0
trend_half_shift,2010,2002,0.1,0.3928445747800563,306.83199413489746,2754.6994134897486
trend_half_shift,2010,2003,0.1,0.3437390029325493,285.116824046921,583.1824046921042
trend_half_shift,2010,2004,0.1,0.29463343108504225,244.75013489736074,0.0
trend_half_shift,2010,2005,0.1,0.24552785923753517,237.41124633431087,0.0
trend_half_shift,2010,2006,0.1,0.19642228739002815,275.82031671554256,0.0
trend_half_shift,2010,2007,0.1,0.14731671554252113,124.53176832844582,0.0
trend_half_shift,2010,2008,0.1,0.09821114369501407,277.16049853372436,0.0
trend_half_shift,2010,2009,0.1,0.04910557184750704,287.7734692082112,848.8469208211257
expanding,2011,2000,0.09090909090909091,0.0,276.99,0.0
expanding,2011,2001,0.09090909090909091,0.0,257.09999999999997,0.0
