window,first_calendar_year,last_calendar_year,effective_start_year,strike,actual_valid_years,valid_years,payout_label,hdd_n,hdd_mean,hdd_median,hdd_std,hdd_minimum,hdd_maximum,hdd_p10,hdd_p25,hdd_p75,hdd_p90,payout_n,payout_mean,payout_median,payout_std,payout_minimum,payout_maximum,payout_p10,payout_p25,payout_p75,payout_p90,positive_payout_fraction
all_history,2000,2026,2000,224.22000000000003,26,2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,"historical expected payout before premium, discounting, and risk adjustments",26,222.83076923076922,224.22000000000003,59.12785217970137,94.08,324.51000000000005,133.96499999999997,192.83999999999997,268.28999999999996,288.0,26,2298.9230769230753,244.49999999999932,3016.718825785086,0.0,10029.000000000002,0.0,0.0,4406.9999999999945,6378.0,0.5
recent_20_calendar_years,2006,2025,2006,224.22000000000003,20,2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,"historical expected payout before premium, discounting, and risk adjustments",20,206.11350000000002,205.33499999999998,55.61080189230564,94.08,290.28000000000003,128.541,184.4475,238.33499999999998,281.99399999999997,20,1358.5499999999988,0.0,2369.111280739322,0.0,6606.0,0.0,0.0,1411.4999999999939,5777.399999999997,0.35
recent_10_calendar_years,2016,2025,2016,224.22000000000003,10,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,"historical expected payout before premium, discounting, and risk adjustments",10,189.37800000000001,200.08499999999998,56.56493295319991,94.08,270.84,116.76000000000002,150.11999999999998,218.85000000000002,251.103,10,713.0999999999995,0.0,1589.7270520438392,0.0,4661.9999999999945,0.0,0.0,0.0,2688.299999999999,0.2
